Date;Close;
04/08/2023;6.852,84;-0,006557675
03/08/2023;6.898,08;0,006356017
02/08/2023;6.854,51;-0,00464479
01/08/2023;6.886,50;-0,006472438
31/07/2023;6.931,36;0,004511285
28/07/2023;6.900,23;0,000517191
27/07/2023;6.896,66;-0,007428562
26/07/2023;6.948,28;0,004418784
25/07/2023;6.917,71;0,002654572
24/07/2023;6.899,40;0,002702336
21/07/2023;6.880,80;0,002420212
20/07/2023;6.864,19;0,004975817
18/07/2023;6.830,20;-0,005379371
17/07/2023;6.867,14;-0,000353404
14/07/2023;6.869,57;0,008716157
13/07/2023;6.810,21;0,000294337
12/07/2023;6.808,21;0,001660333
11/07/2023;6.796,92;0,009788348
10/07/2023;6.731,04;0,002170653
07/07/2023;6.716,46;-0,006048552
06/07/2023;6.757,33;0,00570831
05/07/2023;6.718,98;0,005570864
04/07/2023;6.681,75;-0,002234217
03/07/2023;6.696,72;0,005229293
27/06/2023;6.661,88;-0,000418485
26/06/2023;6.664,67;0,003755431
23/06/2023;6.639,73;-0,001883318
22/06/2023;6.652,26;-0,007514037
21/06/2023;6.702,63;0,006331387
20/06/2023;6.660,46;-0,003829461
19/06/2023;6.686,06;-0,001864254
16/06/2023;6.698,55;-0,002271152
15/06/2023;6.713,79;0,002101302
14/06/2023;6.699,72;-0,002872053
13/06/2023;6.719,01;-0,000499658
12/06/2023;6.722,37;0,004234989
09/06/2023;6.694,02;0,004154287
08/06/2023;6.666,33;0,007035788
07/06/2023;6.619,75;0,000125705
06/06/2023;6.618,92;-0,00218803
05/06/2023;6.633,44;2,65001E-05
31/05/2023;6.633,26;-0,000476405
30/05/2023;6.636,42;-0,0066874
29/05/2023;6.681,10;-0,000882148
26/05/2023;6.687,00;-0,002570016
25/05/2023;6.704,23;-0,00616283
24/05/2023;6.745,80;0,001353799
23/05/2023;6.736,68;0,001045688
22/05/2023;6.729,65;0,004340821
19/05/2023;6.700,56;0,005620085
17/05/2023;6.663,11;-0,002014538
16/05/2023;6.676,56;-0,005241006
15/05/2023;6.711,74;0,000592903
12/05/2023;6.707,76;-0,007130735
11/05/2023;6.755,94;-0,008216027
10/05/2023;6.811,90;0,004708687
09/05/2023;6.779,98;0,001528757
08/05/2023;6.769,63;-0,002651883
05/05/2023;6.787,63;-0,008240177
04/05/2023;6.844,03;0,004595034
03/05/2023;6.812,72;-0,007369571
02/05/2023;6.863,30;-0,007578979
28/04/2023;6.915,72;-0,00428498
27/04/2023;6.945,48;0,005112782
26/04/2023;6.910,15;0,012949625
18/04/2023;6.821,81;0,005042311
17/04/2023;6.787,58;-0,004545259
14/04/2023;6.818,57;0,004859715
13/04/2023;6.785,60;-0,001965847
12/04/2023;6.798,96;-0,001813174
11/04/2023;6.811,31;0,005919024
10/04/2023;6.771,23;-0,003169589
06/04/2023;6.792,77;-0,003945887
05/04/2023;6.819,67;-0,001976155
04/04/2023;6.833,18;0,000879341
03/04/2023;6.827,17;0,00321779
31/03/2023;6.805,28;-0,00053963
30/03/2023;6.808,95;-0,004457219
29/03/2023;6.839,44;0,011701786
28/03/2023;6.760,33;0,007660685
27/03/2023;6.708,93;-0,007885063
24/03/2023;6.762,25;0,01055696
21/03/2023;6.691,61;0,011965327
20/03/2023;6.612,49;-0,009844901
17/03/2023;6.678,24;0,017135768
16/03/2023;6.565,73;-0,009415795
15/03/2023;6.628,14;-0,00205919
14/03/2023;6.641,81;-0,021385306
13/03/2023;6.786,96;0,003200644
10/03/2023;6.765,30;-0,005072677
09/03/2023;6.799,79;0,003456837
08/03/2023;6.776,37;0,001420518
07/03/2023;6.766,76;-0,005912026
06/03/2023;6.807,00;-0,00097382
03/03/2023;6.813,64;-0,006384156
02/03/2023;6.857,42;0,0018231
01/03/2023;6.844,94;0,000248021
28/02/2023;6.843,24;-0,001683218
27/02/2023;6.854,78;-0,000262422
24/02/2023;6.856,58;0,002503426
23/02/2023;6.839,45;0,004329878
22/02/2023;6.809,97;-0,009229343
21/02/2023;6.873,40;-0,003091064
20/02/2023;6.894,72;-0,000144593
17/02/2023;6.895,71;7,22251E-06
16/02/2023;6.895,66;-0,002729614
15/02/2023;6.914,54;-0,0039351
14/02/2023;6.941,85;0,006045507
13/02/2023;6.900,14;0,002879373
10/02/2023;6.880,33;-0,002469948
09/02/2023;6.897,37;-0,006161099
08/02/2023;6.940,12;0,000695463
07/02/2023;6.935,30;0,008948449
06/02/2023;6.873,79;-0,00548935
03/02/2023;6.911,73;0,003070886
02/02/2023;6.890,57;0,004126042
01/02/2023;6.862,26;0,003350617
31/01/2023;6.839,34;-0,004822008
30/01/2023;6.872,48;-0,003841147
27/01/2023;6.898,98;0,004976547
26/01/2023;6.864,82;0,00510806
25/01/2023;6.829,93;-0,004507286
24/01/2023;6.860,85;-0,002047606
20/01/2023;6.874,93;0,008068134
19/01/2023;6.819,91;0,007999232
18/01/2023;6.765,79;-0,00022959
17/01/2023;6.767,34;0,011854372
16/01/2023;6.688,06;0,006959987
13/01/2023;6.641,83;0,001794286
12/01/2023;6.629,93;0,006907325
11/01/2023;6.584,45;-0,005744946
10/01/2023;6.622,50;-0,00983306
09/01/2023;6.688,27;0,000554567
06/01/2023;6.684,56;0,004616474
05/01/2023;6.653,84;-0,023395327
04/01/2023;6.813,24;-0,01096265
03/01/2023;6.888,76;0,00551365
02/01/2023;6.850,98;5,32428E-05
30/12/2022;6.850,62;-0,001378703
29/12/2022;6.860,08;0,001395095
28/12/2022;6.850,52;-0,010473285
27/12/2022;6.923,03;0,012759099
26/12/2022;6.835,81;0,005166438
23/12/2022;6.800,67;-0,003481502
22/12/2022;6.824,43;0,000552592
21/12/2022;6.820,66;0,00773415
20/12/2022;6.768,32;-0,001678884
19/12/2022;6.779,70;-0,004770069
16/12/2022;6.812,19;0,008935761
15/12/2022;6.751,86;-0,007334755
14/12/2022;6.801,75;-0,001257929
13/12/2022;6.810,32;0,011265025
12/12/2022;6.734,45;0,002879173
09/12/2022;6.715,12;-0,013096107
08/12/2022;6.804,23;-0,002130141
07/12/2022;6.818,75;-0,010709775
06/12/2022;6.892,57;-0,01356145
05/12/2022;6.987,33;-0,004602948
02/12/2022;7.019,64;-0,000165802
01/12/2022;7.020,80;-0,008544992
30/11/2022;7.081,31;0,009874994
29/11/2022;7.012,07;-0,000753711
28/11/2022;7.017,36;-0,005074611
25/11/2022;7.053,15;-0,003864865
24/11/2022;7.080,52;0,003741371
23/11/2022;7.054,12;0,003347537
22/11/2022;7.030,59;-0,004623819
21/11/2022;7.063,25;-0,002673482
18/11/2022;7.082,18;0,005279686
17/11/2022;7.044,99;0,004362757
16/11/2022;7.014,38;-0,00300138
15/11/2022;7.035,50;0,002294773
14/11/2022;7.019,39;-0,009847924
11/11/2022;7.089,21;0,017564519
10/11/2022;6.966,84;-0,014603372
09/11/2022;7.070,08;0,002830872
08/11/2022;7.050,13;-0,007359491
07/11/2022;7.102,40;0,008071666
04/11/2022;7.045,53;0,001557111
03/11/2022;7.034,57;0,002691581
02/11/2022;7.015,69;-0,005191677
01/11/2022;7.052,30;-0,006562563
31/10/2022;7.098,89;0,006072825
28/10/2022;7.056,04;-0,005036999
27/10/2022;7.091,76;0,006789137
26/10/2022;7.043,94;-0,000630062
25/10/2022;7.048,38;-0,000661284
24/10/2022;7.053,04;0,005026233
21/10/2022;7.017,77;0,005317432
20/10/2022;6.980,65;0,017526027
19/10/2022;6.860,42;0,003792801
18/10/2022;6.834,49;0,000494635
17/10/2022;6.831,12;0,002433836
14/10/2022;6.814,53;-0,00960599
13/10/2022;6.880,63;-0,004137085
12/10/2022;6.909,21;-0,004314081
11/10/2022;6.939,15;-0,007899182
10/10/2022;6.994,40;-0,004609248
07/10/2022;7.026,78;-0,007042885
06/10/2022;7.076,62;0,000175013
05/10/2022;7.075,38;0,00044242
04/10/2022;7.072,26;0,008921627
03/10/2022;7.009,72;-0,004414284
30/09/2022;7.040,80;0,000653707
29/09/2022;7.036,20;-0,005769725
28/09/2022;7.077,03;-0,004979783
27/09/2022;7.112,45;-0,00211206
26/09/2022;7.127,50;-0,007115621
23/09/2022;7.178,58;-0,005585716
22/09/2022;7.218,91;0,004255768
21/09/2022;7.188,31;-0,00120012
20/09/2022;7.196,95;0,000203375
19/09/2022;7.195,49;0,003712953
16/09/2022;7.168,87;-0,018715908
15/09/2022;7.305,60;0,003781623
14/09/2022;7.278,08;-0,005457488
13/09/2022;7.318,02;0,008760433
12/09/2022;7.254,46;0,001630356
09/09/2022;7.242,66;0,001471052
08/09/2022;7.232,02;0,00629773
07/09/2022;7.186,76;-0,006414621
06/09/2022;7.233,15;0,000175884
05/09/2022;7.231,88;0,007621882
02/09/2022;7.177,18;0,003365699
01/09/2022;7.153,10;-0,003550257
31/08/2022;7.178,59;0,002670127
30/08/2022;7.159,47;0,003845773
29/08/2022;7.132,04;-0,000448916
26/08/2022;7.135,25;-0,005430559
25/08/2022;7.174,21;-0,002849046
24/08/2022;7.194,71;0,004389188
23/08/2022;7.163,27;0,007777485
22/08/2022;7.107,98;-0,008985955
19/08/2022;7.172,43;-0,001965339
18/08/2022;7.186,56;0,007444498
16/08/2022;7.133,45;0,005664131
15/08/2022;7.093,28;-0,005049737
12/08/2022;7.129,28;-0,004344447
11/08/2022;7.160,38;0,010463796
10/08/2022;7.086,24;-0,002343281
09/08/2022;7.102,88;0,002262044
08/08/2022;7.086,85;0,000309731
05/08/2022;7.084,65;0,003869249
04/08/2022;7.057,35;0,001520354
03/08/2022;7.046,63;0,008368091
02/08/2022;6.988,16;0,002780116
01/08/2022;6.968,78;0,002540619
29/07/2022;6.951,12;-0,000818456
28/07/2022;6.956,82;0,008495106
27/07/2022;6.898,22;0,003882495
26/07/2022;6.871,54;0,001914421
25/07/2022;6.858,41;-0,004146195
22/07/2022;6.886,96;0,003326139
21/07/2022;6.864,13;-0,001543666
20/07/2022;6.874,74;0,020583355
19/07/2022;6.736,09;0,011538662
18/07/2022;6.659,25;0,001104668
15/07/2022;6.651,90;-0,00570727
14/07/2022;6.690,09;0,007392976
13/07/2022;6.640,99;-0,01150645
12/07/2022;6.718,29;-0,000572894
11/07/2022;6.722,15;-0,002681547
08/07/2022;6.740,22;0,013172669
07/07/2022;6.652,59;0,000929337
06/07/2022;6.646,41;-0,008481829
05/07/2022;6.703,27;0,009653951
04/07/2022;6.639,17;-0,022836143
01/07/2022;6.794,33;-0,016964843
30/06/2022;6.911,58;-0,004432078
29/06/2022;6.942,35;-0,007733198
28/06/2022;6.996,46;-0,002793467
27/06/2022;7.016,06;-0,00381685
24/06/2022;7.042,94;0,006382998
23/06/2022;6.998,27;0,001998201
22/06/2022;6.984,31;-0,008483698
21/06/2022;7.044,07;0,009703296
20/06/2022;6.976,38;0,00568118
17/06/2022;6.936,97;-0,0160786
16/06/2022;7.050,33;0,006176118
15/06/2022;7.007,05;-0,006075567
14/06/2022;7.049,88;0,007782202
13/06/2022;6.995,44;-0,012870126
10/06/2022;7.086,65;-0,013390562
09/06/2022;7.182,83;-0,001457449
08/06/2022;7.193,31;0,007319523
07/06/2022;7.141,04;0,006265395
06/06/2022;7.096,58;-0,012025529
03/06/2022;7.182,96;0,004789358
02/06/2022;7.148,72;-3,45602E-05
31/05/2022;7.148,97;0,015830088
30/05/2022;7.037,56;0,001609546
27/05/2022;7.026,26;0,020738269
25/05/2022;6.883,50;-0,004431094
24/05/2022;6.914,14;0,010724839
23/05/2022;6.840,77;-0,011183511
20/05/2022;6.918,14;0,01389483
19/05/2022;6.823,33;0,004404398
18/05/2022;6.793,41;0,022416737
17/05/2022;6.644,47;0,007043601
13/05/2022;6.597,99;-0,000279807
12/05/2022;6.599,84;-0,031742493
11/05/2022;6.816,20;-0,000526529
10/05/2022;6.819,79;-0,013018853
09/05/2022;6.909,75;-0,044150903
28/04/2022;7.228,91;0,004467272
27/04/2022;7.196,76;-0,004893242
